Rules,Support,Confidence
"jika beli MAINAN TARIK, maka beli BATU BATRAI DYNAMAX",0.005086071987480438,0.36619718309859156
"jika beli BATU BATRAI DYNAMAX, maka beli MAINAN TARIK",0.005086071987480438,0.28888888888888886
"jika beli MASKER DUCKBIL HITAM, maka beli MASKER DUCKBIL PUTIH",0.004303599374021909,0.1476510067114094
"jika beli MASKER DUCKBIL PUTIH, maka beli MASKER DUCKBIL HITAM",0.004303599374021909,0.08239700374531835
"jika beli BATANG KORDEN 1.5M, maka beli KORDEN SMOKRING",0.0035211267605633804,0.5294117647058824
"jika beli KORDEN SMOKRING, maka beli BATANG KORDEN 1.5M",0.0035211267605633804,0.3673469387755102
"jika beli BATANG KORDEN 1M, maka beli KORDEN SMOKRING",0.003325508607198748,0.4146341463414634
"jika beli KORDEN SMOKRING, maka beli BATANG KORDEN 1M",0.003325508607198748,0.3469387755102041
"jika beli TEAPOT WARNA, maka beli KERTAS KADO",0.002543035993740219,0.41935483870967744
"jika beli KERTAS KADO, maka beli TEAPOT WARNA",0.002543035993740219,0.16455696202531644
"jika beli BATANG KORDEN 1.5M, maka beli BATANG KORDEN 1M",0.002347417840375587,0.35294117647058826
"jika beli BATANG KORDEN 1M, maka beli BATANG KORDEN 1.5M",0.002347417840375587,0.2926829268292683
"jika beli BUKU VISION BIGBOS ISI 42, maka beli BUKU VISION ISI 38",0.0019561815336463224,0.37037037037037035
"jika beli BUKU VISION ISI 38, maka beli BUKU VISION BIGBOS ISI 42",0.0019561815336463224,0.35714285714285715
"jika beli MINYAK KITA 1L, maka beli MASKER DUCKBIL PUTIH",0.0019561815336463224,0.12658227848101267
"jika beli MASKER DUCKBIL PUTIH, maka beli MINYAK KITA 1L",0.0019561815336463224,0.03745318352059925
"jika beli MASKER EARLOOP 3PLY, maka beli MASKER DUCKBIL HITAM",0.0017605633802816902,0.14754098360655737
"jika beli sabun cuci piring b-light, maka beli MINYAK KITA 1L",0.0017605633802816902,0.12857142857142856
"jika beli MINYAK KITA 1L, maka beli sabun cuci piring b-light",0.0017605633802816902,0.11392405063291139
"jika beli MASKER DUCKBIL HITAM, maka beli MASKER EARLOOP 3PLY",0.0017605633802816902,0.06040268456375839
"jika beli JAM DINDING OGANA JUMBO, maka beli BATU BATRAI DYNAMAX",0.001564945226917058,0.26666666666666666
"jika beli GELAS JUS PORTO, maka beli KERTAS KADO",0.001564945226917058,0.25
"jika beli KERTAS KADO, maka beli GELAS JUS PORTO",0.001564945226917058,0.10126582278481013
"jika beli BATU BATRAI DYNAMAX, maka beli JAM DINDING OGANA JUMBO",0.001564945226917058,0.08888888888888889
"jika beli KERANJANG PAJERO WARNA, maka beli MASKER DUCKBIL PUTIH",0.001564945226917058,0.04678362573099415
"jika beli MASKER DUCKBIL PUTIH, maka beli KERANJANG PAJERO WARNA",0.001564945226917058,0.0299625468164794
"jika beli JAM DINDING ANGKA, maka beli CUTER TRANSPARAN",0.0013693270735524257,0.2413793103448276
"jika beli GELAS MUG TTP 1 WARNA, maka beli MASKER DUCKBIL PUTIH",0.0013693270735524257,0.2413793103448276
"jika beli sabun cuci piring b-light, maka beli MASKER DUCKBIL PUTIH",0.0013693270735524257,0.1
"jika beli CUTER TRANSPARAN, maka beli JAM DINDING ANGKA",0.0013693270735524257,0.09090909090909091
"jika beli MASKER DUCKBIL PUTIH, maka beli GELAS MUG TTP 1 WARNA",0.0013693270735524257,0.026217228464419477
"jika beli MASKER DUCKBIL PUTIH, maka beli sabun cuci piring b-light",0.0013693270735524257,0.026217228464419477
"jika beli BATANG KORDEN 2M, maka beli KORDEN SMOKRING",0.0011737089201877935,0.5454545454545454
"jika beli BANTAL/GULING MAHKOTA HITAM, maka beli BANTAL/GULING MAHKOTA MERAH",0.0011737089201877935,0.2857142857142857
"jika beli PEMBERSIH TELINGA, maka beli GENDONGAN DAMAR DEPAN BONEKA",0.0011737089201877935,0.2857142857142857
"jika beli GENDONGAN DAMAR DEPAN BONEKA, maka beli PEMBERSIH TELINGA",0.0011737089201877935,0.20689655172413793
"jika beli SPRINGBED VALENCIA, maka beli KERANJANG PAJERO WARNA",0.0011737089201877935,0.1875
"jika beli BANTAL/GULING MAHKOTA MERAH, maka beli BANTAL/GULING MAHKOTA HITAM",0.0011737089201877935,0.15
"jika beli LEMARI LS2P KACA, maka beli KERANJANG PAJERO WARNA",0.0011737089201877935,0.13043478260869565
"jika beli KORDEN SMOKRING, maka beli BATANG KORDEN 2M",0.0011737089201877935,0.12244897959183673
"jika beli AGAR-AGAR INACO 1 KG, maka beli MASKER DUCKBIL HITAM",0.0011737089201877935,0.10909090909090909
"jika beli SPRITE/COCA COLA/fFANTA 1 KRAT, maka beli KERTAS KADO",0.0011737089201877935,0.08823529411764706
"jika beli KERTAS KADO, maka beli SPRITE/COCA COLA/fFANTA 1 KRAT",0.0011737089201877935,0.0759493670886076
"jika beli MASKER DUCKBIL HITAM, maka beli AGAR-AGAR INACO 1 KG",0.0011737089201877935,0.040268456375838924
"jika beli KERANJANG PAJERO WARNA, maka beli SPRINGBED VALENCIA",0.0011737089201877935,0.03508771929824561
"jika beli KERANJANG PAJERO WARNA, maka beli LEMARI LS2P KACA",0.0011737089201877935,0.03508771929824561
