Rules,Support,Confidence
"jika beli HANDUK KARAKTER ANAK, maka beli SELIMUT KARAKTER ANAK",0.07142857142857142,1.0
"jika beli SELIMUT KARAKTER ANAK, maka beli HANDUK KARAKTER ANAK",0.07142857142857142,1.0
"jika beli TOPLES 16L, maka beli MUKENA TERUSAN FATIMAH",0.07142857142857142,1.0
"jika beli MUKENA TERUSAN FATIMAH, maka beli TOPLES 16L",0.07142857142857142,1.0
"jika beli TOPLES 16L, maka beli DIPAN 160 MINIMALIS",0.07142857142857142,1.0
"jika beli DIPAN 160 MINIMALIS, maka beli TOPLES 16L",0.07142857142857142,1.0
"jika beli MUKENA TERUSAN FATIMAH, maka beli DIPAN 160 MINIMALIS",0.07142857142857142,1.0
"jika beli DIPAN 160 MINIMALIS, maka beli MUKENA TERUSAN FATIMAH",0.07142857142857142,1.0
"jika beli STIKER MOMO, maka beli RAK SEPATU PORTABLE GENEVA 5SN",0.07142857142857142,1.0
"jika beli RAK SEPATU PORTABLE GENEVA 5SN, maka beli STIKER MOMO",0.07142857142857142,1.0
"jika beli STIKER MOMO, maka beli BOX CONTAINER",0.07142857142857142,1.0
"jika beli BOX CONTAINER, maka beli STIKER MOMO",0.07142857142857142,1.0
"jika beli RAK SEPATU PORTABLE GENEVA 5SN, maka beli BOX CONTAINER",0.07142857142857142,1.0
"jika beli BOX CONTAINER, maka beli RAK SEPATU PORTABLE GENEVA 5SN",0.07142857142857142,1.0
