Item,Transaction,kuantitas
RAK MINI SSN 4,1,1
SAPU TEPES,2,1
TALENAN KAYU BSR,3,6
LEMARI PLASTICO 4SSN,4,3
RAK CHIKI/SNACK JUMBO,5,1
LAMBAR KACA,6,1
SELIMUT KARAKTER ANAK,7,1
HANDUK KARAKTER ANAK,7,1
PISAU SET GSF,8,1
TEKO JINNIE AYAM JAGO PURIH DX,9,1
PRESTO HCML 8 L,10,1
FRYPAN SET PANCI,11,1
MUKENA TERUSAN FATIMAH,12,1
DIPAN 160 MINIMALIS,12,1
TOPLES 16L,12,1
RAK SEPATU PORTABLE GENEVA 5SN,13,1
BOX CONTAINER,13,1
STIKER MOMO,13,1
LEMARI PLASTICO 4SSN,14,1
STIKER MOMO,14,3
RAK SET GANTUNG 3IN1,14,4
SPRITE/COCA COLA/fFANTA 1 KRAT,14,4
NAMPAN 4 SEDENG,14,3
BANTAL/GULING KARAKTER,15,2
PEL PELAN NAGOYA,16,1
EMBER 23 REDHOUSE,16,1
BOTOL ENJOYLIFE,16,1
TREMOS ELEPHANT,16,1
RAK SEPATU PORTABLE GENEVA 5SN,17,1
POMPA GALON ELEKTRIK GSF,18,1
GELAS CANTEL JEMPOL,18,1
GELAS CANTEL POLOS JUMBO,18,1
SPRINGBED BIGDREAM 180,19,1
TEPUNG IRUT,19,1
CUTER TRANSPARAN,20,2
KARPET SPONS MURAH,21,1
RACUN TIKUS,22,5
SELIMUT KARAKTER ANAK,23,2
KIPAS WELHOME BERDIRI 1681,24,1
KARPET METERAN,25,2
LEMARI GMCC TIREX 3SSN,25,4
CUTER TRANSPARAN,25,1
TEMPAT TISU KOTAK PANJANG,26,1
SPREI WATERPROOF 180,27,1
TIMBANGAN  DIGITAL GSF,28,1
SETRIKA COSMOS CIS-428,29,1
LEMARI GMCC TIREX 3SSN,30,1
MAINAN TARIK,31,1
BATU BATRAI DYNAMAX,31,1
SPRITE/COCA COLA/fFANTA 1 KRAT,31,1
CLUNNY SET,32,1
PISAU SET GSF,32,1
GAGANG SUPERMOP,32,1
PIRING ROTAN PLASTIK,33,1
TIKAR ISTANA JUMBO,33,1
RACUN TIKUS,34,3
RODA KAKI KULKAS,35,1
SPREI MY LOVE 180 30CM,36,1
SPRITE/COCA COLA/fFANTA 1 KRAT,36,2
RANTANG JAGO STENLIS,37,1
SPRITE/COCA COLA/fFANTA 1 KRAT,37,1
SPREI MY LOVE 180 30CM,37,1
MAINAN TARIK,38,1
KOMPOR 2 TUNGKU HCM STENLIS,38,1
BATU BATRAI DYNAMAX,38,1
BOX 156 SL,39,1
MAWAR LAUNDRY REFILL,40,6
AGAR-AGAR INACO 1 KG,41,1
AGAR-AGAR INACO 1 KG,42,1
SPRITE/COCA COLA/fFANTA 1 KRAT,42,3
AGAR-AGAR INACO 1 KG,43,1
RACUN TIKUS,44,2
SPRITE/COCA COLA/fFANTA 1 KRAT,45,2
CUTER TRANSPARAN,45,1
TALENAN KAYU KCL,46,2
BOX CB 55,47,1
SPRITE/COCA COLA/fFANTA 1 KRAT,48,3
JAM DINDING ANGKA,48,1
BLENDER OMEGA NATIONAL,49,1
SPRITE/COCA COLA/fFANTA 1 KRAT,50,7
MASKER DUCKBIL ANAK,51,2
RAK PIRING EKONOMI BESAR,51,1
MASKER DUCKBIL ANAK,52,1
CUTER TRANSPARAN,52,1
MINYAK KITA 1L,52,1
MAWAR LAUNDRY REFILL,52,1
SPRITE/COCA COLA/fFANTA 1 KRAT,53,1
KIPAS TANGAN GRADASI,54,1
TREMOS INDOGLASS 500ML,54,1
KRUPUK KENTANG,54,1
CUTER TRANSPARAN,55,1
JAM DINDING ANGKA,55,1
AGAR-AGAR INACO 1 KG,55,2
LAMPU LEED 5 WATT,56,1
RAK COSMIC 3SSN ABU,57,1
TEETH WHITENING,57,1
CUTER TRANSPARAN,58,2
SPRITE/COCA COLA/fFANTA 1 KRAT,58,2
SPRITE/COCA COLA/fFANTA 1 KRAT,59,1
RAK PIRING EKONOMI BESAR,60,1
AGAR-AGAR INACO 1 KG,60,1
SPRITE/COCA COLA/fFANTA 1 KRAT,61,2
SPRITE/COCA COLA/fFANTA 1 KRAT,62,2
TEKO JINNIE AYAM JAGO PURIH DX,62,1
BOLA MANDI 25,63,1
AGAR-AGAR INACO 1 KG,64,1
KOK,64,1
SPRITE/COCA COLA/fFANTA 1 KRAT,64,3
TEPUNG IRUT,65,1
BANTAL CINTA,66,1
KOMPOR MIYAKO KG-11C,67,2
LEMARI FAWSLINE 3 SUSUN,67,1
BOTOL ENJOYLIFE,68,1
RAK SEPATU PORTABLE GENEVA 5SN,69,1
BOTOL ENJOYLIFE,70,1
MAWAR LAUNDRY REFILL,71,2
PRESTO HCML 8 L,72,1
SPRITE/COCA COLA/fFANTA 1 KRAT,72,1
SPREI MY LOVE 180 30CM,72,1
SARUNG BUSA 160x20,73,1
TENDA 2 PINTU,74,1
SPRITE/COCA COLA/fFANTA 1 KRAT,74,1
PAYUNG 16 JARI,74,1
BOTOL MINUM 750ML SL,74,1
TEETH WHITENING,75,1
BOTOL MINUM 750ML SL,75,1
SPRITE/COCA COLA/fFANTA 1 KRAT,75,1
BUSA ROYAL 120x30,76,1
BUSA ROYAL 140x30,76,1
CUTER TRANSPARAN,77,2
SPRITE/COCA COLA/fFANTA 1 KRAT,78,2
BATANG KORDEN 1M,79,1
BATANG KORDEN 1.5M,79,2
SAPU DUK BINTANG,80,1
MEJA BELAJAR IMPOR KARAKTER,81,1
JAM DINDING ANGKA,82,2
KERANJANG PAJERO WARNA,82,2
KERANJANG PAJERO WARNA,83,1
AGAR-AGAR INACO 1 KG,83,1
TEPUNG IRUT,83,1
GILINGAN MIE GSF,84,1
SPRITE/COCA COLA/fFANTA 1 KRAT,85,1
KERANJANG PAJERO WARNA,85,2
GAGANG SUPERMOP,86,1
SPRITE/COCA COLA/fFANTA 1 KRAT,87,4
MANTEL ELMONDO ANAK,87,1
TIKAR ISTANA JUMBO,88,1
PISAU STENLIS BUAH,89,1
SPRITE/COCA COLA/fFANTA 1 KRAT,90,3
GAGANG SUPERMOP,91,1
AGAR-AGAR INACO 1 KG,92,1
JEMURAN POPOK 30 LION STAR,93,1
CUTER TRANSPARAN,94,1
BATRAI ABC SEDENG,95,1
TIMBANGAN KUE GSF DIGITAL 4505,96,1
CUTER TRANSPARAN,96,1
BATU BATRAI DYNAMAX,96,5
GELAS WILLY SET,97,1
BATANG KORDEN 1M,98,1
KORDEN SMOKRING,98,1
WALLPAPER DAPUR 5M,98,1
SPREI BONITA 180x200,98,1
CUTER TRANSPARAN,99,1
MASKER DUCKBIL ANAK,99,1
TREMOS SOLARIS LION STAR,100,1
PAYUNG LIPAT 3 DIMENSI,101,1
RAK SEPATU PORTABLE GENEVA 5SN,102,1
GELAS CANTEL KOPI,103,3
BOTOL MINUM 750ML SL,104,2
TEETH WHITENING,104,1
JEMURAN JUMBO STENLIS,104,1
AGAR-AGAR INACO 1 KG,105,1
SAPU CLASIC VINODA,105,5
PEL PELAN VINODA,105,5
CUTER TRANSPARAN,105,5
JEMURAN ALUMINIUM STANDART WARNA,105,5
PAYUNG 16 JARI,105,2
PAYUNG PELANGI JUMBO,105,2
KERANJANG PAJERO WARNA,105,2
TOPLES 16L,105,2
MASKER DUCKBIL ANAK,105,2
SAPU DUK BINTANG,105,3
SEROK JUMBO,105,2
CANGKIR LEPEK ROSE,105,2
PISAU SET GSF,105,2
PANGGANGAN OMICKO BULAT,105,2
PERASAN JERUK STENLIS,105,2
AGAR-AGAR INACO 1 KG,106,2
KERANJANG PAJERO WARNA,107,2
KIPAS WELHOME BERDIRI 1681,108,2
KIPAS WELHOME BERDIRI 1681,109,1
RACUN TIKUS,110,1
RICE BUCKET 17L,111,4
SAPU CLASIC VINODA,111,2
PEL PELAN VINODA,111,2
MAINAN TARIK,111,2
BASKOM JUMBO GSF,111,1
SPREI BONITA 160X20,111,1
ROYAL MEDICARE 140,111,1
MAINAN TRUK TTP 777,112,1
MAGICOM COSMOS CRJ 3306,113,1
JAM DINDING ANGKA,114,1
CUTER TRANSPARAN,115,2
JAM DINDING ANGKA,115,1
BANTAL GULING CANON,115,1
RAK SEPATU PORTABLE GENEVA 5SN,115,1
SINGLE HANGER BY SHENAR,116,1
RAK SEPATU PORTABLE GENEVA 5SN,116,1
SAPU LIDI PRING BULAT,116,1
GAGANG SUPERMOP,117,1
BANTAL/GULING MAHKOTA MERAH,117,1
GELAS CANTEL POLOS JUMBO,118,1
TIMBANGAN DAPUR KENMASTER,118,1
CUTER TRANSPARAN,118,1
RAK COSMIC 3SSN ABU,118,1
KANEBO BIRU,118,1
CUTER TRANSPARAN,119,1
BOTOL MINUM 750ML SL,119,1
TOPLES KACA SET 4PCS,120,1
BAK HITAM 28 SJP,120,1
JAM DINDING ANGKA,120,1
TOPLES KACA 700ML,121,1
KLEM SLANG,121,2
KARPET METERAN,121,5
RACUN TIKUS,121,2
CUTER TRANSPARAN,122,1
BOTOL MINUM 750ML SL,122,1
JEMURAN HOLDING TABITHA 30 STIK,123,1
PEL PELAN VINODA,123,1
TEMPAT TISU KOTAK PANJANG,124,1
JAM DINDING ANGKA,124,1
PISAU SET GSF,125,1
RAK PIRING ALUMINIUM BIASA,125,1
MANGKOK 2 WARNA,125,1
PIRING 2 WARNA,125,1
PIRING JAGO,125,1
GELAS RT KEMBANG,126,2
GELAS SOP BUAH,127,1
BOX CB 55,128,1
RAK AMAZING BY SHENAR,128,1
SAPU DUK BINTANG,128,1
RANTANG JAGO STENLIS,129,1
LEMARI LS2P NON KACA,130,1
SPREI ILLUSION 160,130,1
CUTER TRANSPARAN,130,1
GELAS RT KEMBANG,130,4
RICE BUCKET 17L,130,2
PIRING JAGO,130,2
SPREI MY LOVE 180 30CM,130,1
CANGKIR LEPEK JAGO,130,2
TREMOS SOLARIS LION STAR,131,1
MASKER DUCKBIL ANAK,132,1
SAPU DUK BINTANG,132,1
RAK AMAZING BY SHENAR,133,1
SPREI ILLUSION 160,134,1
JAM DINDING ANGKA,134,1
CUTER TRANSPARAN,135,1
PIRING DINASTY KUPU 8,136,1
TEMPAT TISU KOTAK PANJANG,137,1
MASKER DUCKBIL ANAK,138,1
CUTER TRANSPARAN,139,1
TEFLON MAXIM 26,140,1
SPRITE/COCA COLA/fFANTA 1 KRAT,141,2
KIPAS WELHOME BERDIRI 1681,142,1
CUTER TRANSPARAN,143,1
TREMOS INDOGLASS 750ML,143,1
JAM DINDING ANGKA,143,1
MASKER DUCKBIL ANAK,144,3
BOX EZ 30,144,2
SAPU DUK BINTANG,144,1
SPREI BONITA 180x200,145,1
MASKER DUCKBIL ANAK,145,1
MASKER DUCKBIL ANAK,146,3
CUTER TRANSPARAN,147,1
GELAS CANTEL KOPI,148,2
JAM DINDING ANGKA,148,1
ROYAL FOAM KAIN ZAKAT,148,1
JEMURAN JUMBO STENLIS,149,2
MAGICOM MIYAKO 528,150,1
SPRITE/COCA COLA/fFANTA 1 KRAT,151,1
SPREI MY LOVE 180 30CM,152,1
JAM DINDING ANGKA,152,1
LAMPU LEED 5 WATT,153,2
TEETH WHITENING,153,1
CUTER TRANSPARAN,154,1
CUTER TRANSPARAN,156,1
PAYUNG PELANGI JUMBO,157,1
RAK AMAZING BY SHENAR,158,1
MANTEL PONCO PANJANG,158,1
KIPAS WELHOME BERDIRI 1681,158,1
RAK SET GANTUNG 3IN1,158,1
CUTER TRANSPARAN,159,1
CUTER TRANSPARAN,160,1
KIPAS WELHOME BERDIRI 1681,160,1
LEMARI GMCC TIREX 4SSN,161,1
JEMURAN ALUMINIUM STANDART WARNA,162,4
SENDOK POLKADOT,163,1
BATU BATRAI DYNAMAX,163,2
JEMURAN ALUMINIUM STANDART WARNA,163,1
TIMBANGAN BADAN KECIL,163,1
RAK KAMAR MANDI SUDUT,164,1
TREMOS INDOGLASS 500ML,164,1
GELAS RT KEMBANG,165,6
MAINAN TARIK,165,1
LAMBAR KACA,165,1
ROVEGA LAUNDRY BASKET 3SSN,166,1
TEMPAT TISU KOTAK PANJANG,167,1
JEMURAN ALUMINIUM STANDART WARNA,168,2
BOX CONTAINER,169,1
SPREI MY LOVE 180 30CM,170,2
LAMPU EMERGENCY CERDAS,171,1
TIMBANGAN BADAN KECIL,171,1
BATU BATRAI DYNAMAX,171,2
KERANJANG PAJERO WARNA,172,1
PAYUNG PELANGI JUMBO,173,2
KARPET SPONS MURAH,173,2
KASUR LANTAI PALEMBANG,174,1
RAK DAPUR BY SHENAR,175,1
TEKO SET JAGO,175,1
CUTER TRANSPARAN,176,1
KIPAS WELHOME BERDIRI 1681,177,1
TEETH WHITENING,177,1
CUTER TRANSPARAN,178,3
SPRINGBED VALENCIA,179,1
SELIMUT KARAKTER ANAK,179,2
TOPLES 16L,180,4
BANTAL SOVA,180,1
RAK DAPUR BY SHENAR,180,1
KESED ANYAMAN,180,2
JAM DINDING ANGKA,181,2
JAM DINDING ANGKA,182,1
MASKER DUCKBIL ANAK,182,1
CUTER TRANSPARAN,183,2
JAM DINDING ANGKA,183,1
PANCI SUSU TUTUP 16,183,1
SPRITE/COCA COLA/fFANTA 1 KRAT,184,2
SPREI MY LOVE 180 30CM,185,1
RAK SET GANTUNG 3IN1,186,1
RAK AMAZING BY SHENAR,187,2
RANTANG JAGO STENLIS,188,1
BUSA ROYAL 140x30,189,1
BUSA ROYAL 160x20,189,1
SELIMUT KARAKTER ANAK,189,4
BANTAL/GULING MAHKOTA MERAH,189,4
CETAKAN PUKIS SUGGO,189,1
BANTAL CINTA,189,5
CUTER TRANSPARAN,190,2
CUTER TRANSPARAN,191,1
SANDAL SWALLOW SERI,192,1
SENDOK/GARPU BATIK,193,1
PANGGANGAN LIPAT,194,1
LEMARI PIRING SLIDING PLUS LACI 6P,195,1
STAN HANGER TOPI,195,1
MAWAR LAUNDRY REFILL,196,1
BABY WALKER 89,197,1
"OILPOTS STAINLESS 1,3L",197,1
PANCI GORENG SARANGAN,197,1
PANCI KUAH AXLO 22CM,197,1
CUTER TRANSPARAN,198,1
CUTER TRANSPARAN,199,1
CUTER TRANSPARAN,200,1
SPREI MY LOVE 180 30CM,201,3
TREMOS SOLARIS LION STAR,202,1
PANCI SUSU TUTUP 16,203,1
CUTER TRANSPARAN,204,1
SPREI MY LOVE 180 30CM,205,1
SPREI LADY ROSE 180x20,206,1
TEPUNG IRUT,207,1
RAK BUKU GSF,208,1
CUTER TRANSPARAN,209,5
TREMOS INDOGLASS 750ML,210,1
KESED 5D DIATOMITE,211,2
BLENDER KAPSUL,212,1
TEKO VACUM,212,1
GAGANG SUPERMOP,212,1
